Task,retrieval,retrieval,retrieval,retrieval,retrieval,retrieval,retrieval,retrieval
Model,niah_single_score,niah_single_samples,niah_multikey_score,niah_multikey_samples,niah_multiquery_score,niah_multiquery_samples,vt_score,vt_samples
baseline,1.0,25,0.96,25,0.99,25,0.55,25
snapkv;observation_window=32;per_head=false;pool_kernel=7,0.96,25,0.96,25,0.94,25,0.47,25
pyramidkv;observation_window=32;per_head=false,0.96,25,0.76,25,0.88,25,0.36,25
h2o;per_head=false,0.0,25,0.0,25,0.0,25,0.0,25
otkv7,0.96,25,0.96,25,0.91,25,0.45,25
