Task,profile_niah,profile_niah,profile_niah,profile_niah,profile_niah,profile_niah,profile_niah
Model,context_length_tokens,total_time_s,ttft_s,pure_decode_time_s,pure_decode_throughput_tps,overall_throughput_tps,kv_cache_mb
baseline,8001,6.697679042816162,1.397146463394165,5.300532579421997,23.95985650442863,19.111097916417933,1016.0
h2o,8001,8.482104063034058,1.4349267482757568,7.047177314758301,18.021399821178722,15.090595334456939,50.125
snapkv;observation_window=32;per_head=false;pool_kernel=7,8001,8.524109125137329,1.3971846103668213,7.126924514770508,17.819748158801637,15.016231974615627,50.125
pyramidkv;observation_window=32;per_head=false,8001,8.406973123550415,1.3926117420196533,7.014361381530762,18.105710996641648,15.225456073058469,50.06640625
otkv4;preset=auto;layer_budget=pyramid,8001,9.298126459121704,1.4437439441680908,7.854382514953613,16.169316907880447,13.766214146768101,49.94140625
otkv7;auto_threshold=0.9,8001,8.81800103187561,1.4429218769073486,7.375079154968262,17.22015416125341,14.51576151298931,50.0
